TIPO,REF,Etapa,ACCT,BUDGET
Below the Line,Detalle,SHOOT,3193-016,0
Below the Line,Detalle,SHOOT,3193-017,0
Below the Line,Detalle,SHOOT,3193-018,0
Below the Line,Detalle,SHOOT,3193-019,0
Below the Line,Detalle,SHOOT,3193-020,0
Below the Line,Detalle,SHOOT,3193-021,0
Below the Line,Detalle,SHOOT,3193-022,0
Below the Line,Detalle,SHOOT,3193-023,0
Below the Line,Detalle,SHOOT,3193-024,0
Below the Line,Detalle,SHOOT,3193-025,0
Below the Line,Detalle,SHOOT,3193-026,0
Below the Line,Detalle,SHOOT,3193-027,0
Below the Line,Detalle,SHOOT,3193-028,0
Below the Line,Detalle,SHOOT,3193-029,0
Below the Line,Detalle,SHOOT,3193-030,0
Below the Line,Detalle,SHOOT,3193-031,0
Below the Line,Detalle,SHOOT,3193-032,0
Below the Line,Detalle,SHOOT,3193-033,0
Below the Line,Detalle,SHOOT,3193-034,0
Below the Line,Detalle,SHOOT,3193-035,0
Below the Line,Detalle,SHOOT,3193-036,0
Below the Line,Detalle,SHOOT,3193-037,0
Below the Line,Detalle,SHOOT,3193-038,0
Below the Line,Detalle,SHOOT,3193-039,0
Below the Line,Detalle,SHOOT,3193-040,0
Below the Line,Detalle,SHOOT,3193-041,2414076
Below the Line,Detalle,,3193-044,0
Below the Line,Detalle,SHOOT,3193-045,2110037.4
Below the Line,Detalle,,3193-048,0
Below the Line,Detalle,2nd Unit,3193-049,0
Below the Line,Detalle,2nd Unit,3193-050,0
Below the Line,Detalle,2nd Unit,3193-051,0
Below the Line,Detalle,2nd Unit,3193-052,0
Below the Line,Detalle,2nd Unit,3193-053,0
Below the Line,Detalle,2nd Unit,3193-054,0
Below the Line,Detalle,2nd Unit,3193-055,0
Below the Line,Detalle,2nd Unit,3193-056,0
Below the Line,Detalle,2nd Unit,3193-057,0
Below the Line,Detalle,2nd Unit,3193-058,0
Below the Line,Detalle,2nd Unit,3193-059,0
Below the Line,Detalle,2nd Unit,3193-060,0
Below the Line,Detalle,2nd Unit,3193-061,0
Below the Line,Detalle,2nd Unit,3193-062,0
Below the Line,Detalle,2nd Unit,3193-063,0
Below the Line,Detalle,2nd Unit,3193-064,0
Below the Line,Detalle,2nd Unit,3193-065,0
Below the Line,Detalle,2nd Unit,3193-066,0
Below the Line,Detalle,2nd Unit,3193-067,0
Below the Line,Detalle,2nd Unit,3193-068,0
Below the Line,Detalle,2nd Unit,3193-069,0
Below the Line,Detalle,2nd Unit,3193-070,0
Below the Line,Detalle,2nd Unit,3193-071,0
Below the Line,Detalle,2nd Unit,3193-072,0
Below the Line,Detalle,2nd Unit,3193-073,0
Below the Line,Detalle,2nd Unit,3193-074,0
Below the Line,Detalle,2nd Unit,3193-075,0
Below the Line,Detalle,2nd Unit,3193-076,0
Below the Line,Detalle,2nd Unit,3193-077,0
Below the Line,Detalle,2nd Unit,3193-078,0
Below the Line,Detalle,2nd Unit,3193-079,0
Below the Line,Detalle,2nd Unit,3193-080,0
Below the Line,Detalle,2nd Unit,3193-081,0
Below the Line,Detalle,2nd Unit,3193-082,764239
Below the Line,Detalle,,3193-085,0
Below the Line,Detalle,2nd Unit,3193-086,253876
Below the Line,Detalle,,3193-089,0
Below the Line,Detalle,SHOOT,3193-090,286068.72
Below the Line,Detalle,,3193-093,0
Below the Line,Detalle,SHOOT,3193-094,172000
Below the Line,Detalle,,3193-097,0
Below the Line,Detalle,SHOOT,3193-098,119000
Below the Line,Detalle,SHOOT,3193-099,94500
Below the Line,Detalle,SHOOT,3193-100,0
Below the Line,Detalle,SHOOT,3193-101,49000
Below the Line,Detalle,SHOOT,3193-102,0
Below the Line,Detalle,SHOOT,3193-103,52500
Below the Line,Detalle,SHOOT,3193-104,49000
Below the Line,Detalle,SHOOT,3193-105,189000
Below the Line,Detalle,SHOOT,3193-106,120000
Below the Line,Detalle,SHOOT,3193-107,63000
Below the Line,Detalle,,3193-110,0
Below the Line,Detalle,SHOOT,3193-111,90000
Below the Line,Detalle,,3193-114,0
Below the Line,Detalle,2nd Unit,3193-115,294000
Below the Line,Detalle,2nd Unit,3193-117,
Below the Line,Detalle,2nd Unit,3193-119,
Below the Line,Sub cuenta,,3198,300000
Below the Line,Detalle,,3198-002,0
Below the Line,Detalle,SHOOT,3198-003,300000
Below the Line,Cuenta General,,3200,1139000
Below the Line,Sub cuenta,,3201,483500
Below the Line,Detalle,,3201-002,0
Below the Line,Detalle,PREP,3201-003,16000
Below the Line,Detalle,SHOOT,3201-004,112000
Below the Line,Detalle,SHOOT,3201-005,84000
Below the Line,Detalle,SHOOT,3201-006,63000
Below the Line,Detalle,SHOOT,3201-007,98000
Below the Line,Detalle,SHOOT,3201-008,8500
Below the Line,Detalle,,3201-011,0
Below the Line,Detalle,2nd Unit,3201-012,32000
Below the Line,Detalle,2nd Unit,3201-013,24000
Below the Line,Detalle,2nd Unit,3201-014,18000
Below the Line,Detalle,2nd Unit,3201-015,28000
Below the Line,Sub cuenta,,3220,462500
Below the Line,Detalle,,3220-002,0
Below the Line,Detalle,SHOOT,3220-003,294000
Below the Line,Detalle,,3220-006,0
Below the Line,Detalle,2nd Unit,3220-007,84000
Below the Line,Detalle,,3220-010,0
Below the Line,Detalle,SHOOT,3220-011,42000
Below the Line,Detalle,,3220-014,0
Below the Line,Detalle,2nd Unit,3220-015,12000
Below the Line,Detalle,,3220-018,0
Below the Line,Detalle,SHOOT,3220-019,28000
Below the Line,Detalle,SHOOT,3220-020,2500
Below the Line,Sub cuenta,,3292,153000
Below the Line,Detalle,,3292-002,0
Below the Line,Detalle,SHOOT,3292-003,126000
Below the Line,Detalle,,3292-006,0
Below the Line,Detalle,2nd Unit,3292-007,27000
Below the Line,Sub cuenta,,3294,20000
Below the Line,Detalle,,3294-002,0
Below the Line,Detalle,ALL SHOW,3294-003,20000
Below the Line,Sub cuenta,,3298,20000
Below the Line,Detalle,,3298-002,0
Below the Line,Detalle,ALL SHOW,3298-003,20000
Below the Line,Cuenta General,,3300,165500
Below the Line,Sub cuenta,,3305,165500
Below the Line,Detalle,,3305-002,0
Below the Line,Detalle,SHOOT,3305-003,19000
Below the Line,Detalle,SHOOT,3305-004,20000
Below the Line,Detalle,SHOOT,3305-005,4500
Below the Line,Detalle,SHOOT,3305-006,12000
Below the Line,Detalle,SHOOT,3305-007,78000
Below the Line,Detalle,,3305-010,0
Below the Line,Detalle,SHOOT,3305-011,32000
Below the Line,Cuenta General,,3400,15001515
Below the Line,Sub cuenta,,3401,271780
Below the Line,Detalle,,3401-002,0
Below the Line,Detalle,PREP,3401-003,4400
Below the Line,Detalle,PREP,3401-004,22356
Below the Line,Detalle,PREP,3401-005,3876.45
Below the Line,Detalle,,3401-008,0
Below the Line,Detalle,PREP,3401-009,1504.68
Below the Line,Detalle,PREP,3401-010,1809.6
Below the Line,Detalle,PREP,3401-011,11948.76
Below the Line,Detalle,PREP,3401-012,1787.5
Below the Line,Detalle,PREP,3401-013,4353.44
Below the Line,Detalle,PREP,3401-014,17333.47
Below the Line,Detalle,PREP,3401-015,251
Below the Line,Detalle,PREP,3401-016,0
Below the Line,Detalle,PREP,3401-017,8449.05
Below the Line,Detalle,,3401-020,0
Below the Line,Detalle,PREP,3401-021,12000
Below the Line,Detalle,PREP,3401-022,27
Below the Line,Detalle,PREP,3401-023,12000
Below the Line,Detalle,PREP,3401-024,5300
Below the Line,Detalle,PREP,3401-025,47.41
Below the Line,Detalle,PREP,3401-026,3000
Below the Line,Detalle,PREP,3401-027,191
Below the Line,Detalle,,3401-030,0
Below the Line,Detalle,PREP,3401-031,16508
Below the Line,Detalle,PREP,3401-032,8670
Below the Line,Detalle,PREP,3401-033,22435.98
Below the Line,Detalle,PREP,3401-034,20160
Below the Line,Detalle,PREP,3401-035,7494
Below the Line,Detalle,PREP,3401-036,10125
Below the Line,Detalle,PREP,3401-037,17953.4
Below the Line,Detalle,PREP,3401-038,2798
Below the Line,Detalle,,3401-041,0
Below the Line,Detalle,PREP,3401-042,55000
Below the Line,Sub cuenta,,3402,504000
Below the Line,Detalle,,3402-002,0
Below the Line,Detalle,SOFT,3402-003,105000
Below the Line,Detalle,PREP,3402-004,189000
Below the Line,Detalle,SHOOT,3402-005,147000
Below the Line,Detalle,WRAP,3402-006,63000
Below the Line,Sub cuenta,,3403,768000
Below the Line,Detalle,,3403-002,0
Below the Line,Detalle,PREP,3403-003,98000
Below the Line,Detalle,SHOOT,3403-004,98000
Below the Line,Detalle,WRAP,3403-005,56000
Below the Line,Detalle,,3403-008,0
Below the Line,Detalle,SOFT,3403-009,31500
Below the Line,Detalle,PREP,3403-010,101250
Below the Line,Detalle,SHOOT,3403-011,78750
Below the Line,Detalle,,3403-014,0
Below the Line,Detalle,PREP,3403-015,90000
Below the Line,Detalle,SHOOT,3403-016,70000
Below the Line,Detalle,,3403-019,0
Below the Line,Detalle,PREP,3403-020,40000
Below the Line,Detalle,,3403-023,0
Below the Line,Detalle,PREP,3403-024,8000
Below the Line,Detalle,SHOOT,3403-025,56000
Below the Line,Detalle,,3403-028,0
Below the Line,Detalle,SHOOT,3403-029,10500
Below the Line,Detalle,,3403-032,0
Below the Line,Detalle,SHOOT,3403-033,6000
Below the Line,Detalle,,3403-036,0
Below the Line,Detalle,2nd Unit,3403-037,8000
Below the Line,Detalle,2nd Unit,3403-038,16000
Below the Line,Sub cuenta,,3407,317300
Below the Line,Detalle,,3407-002,0
Below the Line,Detalle,,3407-004,0
Below the Line,Detalle,SHOOT,3407-005,199500
Below the Line,Detalle,SHOOT,3407-006,5700
Below the Line,Detalle,SHOOT,3407-007,39900
Below the Line,Detalle,,3407-010,0
Below the Line,Detalle,2nd Unit,3407-011,57000
Below the Line,Detalle,2nd Unit,3407-012,3800
Below the Line,Detalle,2nd Unit,3407-013,11400
Below the Line,Sub cuenta,,3408,100000
Below the Line,Detalle,,3408-002,0
Below the Line,Detalle,SHOOT,3408-003,100000
Below the Line,Sub cuenta,,3410,4701050
Below the Line,Detalle,,3410-002,0
Below the Line,Detalle,SHOOT,3410-003,682500
Below the Line,Detalle,SHOOT,3410-004,327600
Below the Line,Detalle,SHOOT,3410-005,1037400
Below the Line,Detalle,SHOOT,3410-006,491400
Below the Line,Detalle,SHOOT,3410-007,491400
Below the Line,Detalle,SHOOT,3410-008,123500
Below the Line,Detalle,,3410-011,0
Below the Line,Detalle,SHOOT,3410-012,100000
Below the Line,Detalle,SHOOT,3410-013,693750
Below the Line,Detalle,,3410-016,0
Below the Line,Detalle,2nd Unit,3410-017,165000
Below the Line,Detalle,2nd Unit,3410-018,79200
Below the Line,Detalle,2nd Unit,3410-019,250800
Below the Line,Detalle,2nd Unit,3410-020,118800
Below the Line,Detalle,2nd Unit,3410-021,118800
Below the Line,Detalle,2nd Unit,3410-022,20900
Below the Line,Sub cuenta,,3412,6880105
Below the Line,Detalle,,3412-002,0
Below the Line,Detalle,SHOOT,3412-003,22370
Below the Line,Detalle,,3412-006,0
Below the Line,Detalle,SHOOT,3412-007,500000
Below the Line,Detalle,,3412-010,0
Below the Line,Detalle,SHOOT,3412-011,571000
Below the Line,Detalle,,3412-014,0
Below the Line,Detalle,SHOOT,3412-015,700000
Below the Line,Detalle,,3412-018,0
Below the Line,Detalle,SHOOT,3412-019,75000
Below the Line,Detalle,,3412-022,0
Below the Line,Detalle,SHOOT,3412-023,15000
Below the Line,Detalle,,3412-026,0
Below the Line,Detalle,SHOOT,3412-027,30000
Below the Line,Detalle,,3412-030,0
Below the Line,Detalle,SHOOT,3412-031,25000
Below the Line,Detalle,,3412-034,0
Below the Line,Detalle,SHOOT,3412-035,77586.21
Below the Line,Detalle,,3412-038,0
Below the Line,Detalle,SHOOT,3412-039,58189.66
Below the Line,Detalle,,3412-042,0
Below the Line,Detalle,SHOOT,3412-043,370272
Below the Line,Detalle,,3412-046,0
Below the Line,Detalle,SHOOT,3412-047,30000
Below the Line,Detalle,,3412-050,0
Below the Line,Detalle,SHOOT,3412-051,40000
Below the Line,Detalle,,3412-054,0
Below the Line,Detalle,SHOOT,3412-055,25000
Below the Line,Detalle,,3412-058,0
Below the Line,Detalle,SHOOT,3412-059,45000
Below the Line,Detalle,,3412-062,0
Below the Line,Detalle,SHOOT,3412-063,45000
Below the Line,Detalle,,3412-066,0
Below the Line,Detalle,SHOOT,3412-067,100000
Below the Line,Detalle,,3412-070,0
Below the Line,Detalle,SHOOT,3412-071,150000
Below the Line,Detalle,,3412-074,0
Below the Line,Detalle,SHOOT,3412-075,125000
Below the Line,Detalle,,3412-078,0
Below the Line,Detalle,SHOOT,3412-079,60000
Below the Line,Detalle,,3412-082,0
Below the Line,Detalle,SHOOT,3412-083,30000
Below the Line,Detalle,,3412-086,0
Below the Line,Detalle,SHOOT,3412-087,300000
Below the Line,Detalle,,3412-090,0
Below the Line,Detalle,SHOOT,3412-091,50000
Below the Line,Detalle,,3412-094,0
Below the Line,Detalle,SHOOT,3412-095,25000
Below the Line,Detalle,,3412-098,0
Below the Line,Detalle,SHOOT,3412-099,55000
Below the Line,Detalle,,3412-102,0
Below the Line,Detalle,SHOOT,3412-103,60000
Below the Line,Detalle,,3412-106,0
Below the Line,Detalle,SHOOT,3412-107,56187.5
Below the Line,Detalle,,3412-110,0
Below the Line,Detalle,SHOOT,3412-111,15000
Below the Line,Detalle,,3412-114,0
Below the Line,Detalle,SHOOT,3412-115,10000
Below the Line,Detalle,,3412-118,0
Below the Line,Detalle,SHOOT,3412-119,30000
Below the Line,Detalle,,3412-122,0
Below the Line,Detalle,SHOOT,3412-123,5000
Below the Line,Detalle,,3412-126,0
Below the Line,Detalle,ALL SHOW,3412-127,2701500
Below the Line,Detalle,,3412-130,0
Below the Line,Detalle,SHOOT,3412-131,147000
Below the Line,Detalle,SHOOT,3412-132,147000
Below the Line,Detalle,2nd Unit,3412-133,42000
Below the Line,Detalle,2nd Unit,3412-134,42000
Below the Line,Detalle,,3412-137,0
Below the Line,Detalle,SHOOT,3412-138,50000
Below the Line,Detalle,2nd Unit,3412-139,50000
Below the Line,Sub cuenta,,3416,112000
Below the Line,Detalle,,3416-002,0
Below the Line,Detalle,PREP,3416-003,3000
Below the Line,Detalle,SHOOT,3416-004,70000
Below the Line,Detalle,WRAP,3416-005,0
Below the Line,Detalle,,3416-008,0
Below the Line,Detalle,2nd Unit,3416-009,3000
Below the Line,Detalle,2nd Unit,3416-010,20000
Below the Line,Detalle,2nd Unit,3416-011,0
Below the Line,Detalle,,3416-014,0
Below the Line,Detalle,ALL SHOW,3416-015,16000
Below the Line,Sub cuenta,,3442,807280
Below the Line,Detalle,,3442-002,0
Below the Line,Detalle,,3442-004,0
Below the Line,Detalle,PREP,3442-005,51840
Below the Line,Detalle,SHOOT,3442-006,175000
Below the Line,Detalle,WRAP,3442-007,45000
Below the Line,Detalle,,3442-010,0
Below the Line,Detalle,SHOOT,3442-011,5880
Below the Line,Detalle,,3442-014,0
Below the Line,Detalle,PREP,3442-015,6480
Below the Line,Detalle,SHOOT,3442-016,5880
Below the Line,Detalle,,3442-019,0
Below the Line,Detalle,SHOOT,3442-020,11760
Below the Line,Detalle,,3442-023,0
Below the Line,Detalle,PREP,3442-024,32400
Below the Line,Detalle,SHOOT,3442-025,287280
Below the Line,Detalle,,3442-028,0
Below the Line,Detalle,2nd Unit,3442-029,38880
Below the Line,Detalle,,3442-032,0
Below the Line,Detalle,PREP,3442-033,16200
Below the Line,Detalle,SHOOT,3442-034,113400
Below the Line,Detalle,,3442-037,0
Below the Line,Detalle,2nd Unit,3442-038,17280
Below the Line,Detalle,2nd Unit,3442-040,
Below the Line,Sub cuenta,,3480,80000
Below the Line,Detalle,,3480-002,0
Below the Line,Detalle,SHOOT,3480-003,52500
Below the Line,Detalle,,3480-006,0
Below the Line,Detalle,2nd Unit,3480-007,15000
Below the Line,Detalle,,3480-010,0
Below the Line,Detalle,SHOOT,3480-011,12500
Below the Line,Sub cuenta,,3485,60000
Below the Line,Detalle,,3485-002,0
Below the Line,Detalle,SHOOT,3485-003,60000
Below the Line,Sub cuenta,,3498,400000
Below the Line,Detalle,,3498-002,0
Below the Line,Detalle,ALL SHOW,3498-003,400000
Below the Line,Cuenta General,,3500,281000
Below the Line,Sub cuenta,,3583,281000
Below the Line,Detalle,,3583-002,0
Below the Line,Detalle,SHOOT,3583-003,120000
Below the Line,Detalle,SHOOT,3583-004,161000
Below the Line,Cuenta General,,3600,7591103
Below the Line,Sub cuenta,,3601,128000
Below the Line,Detalle,,3601-002,0
Below the Line,Detalle,PREP,3601-003,24000
Below the Line,Detalle,SHOOT,3601-004,56000
Below the Line,Detalle,WRAP,3601-005,16000
Below the Line,Detalle,,3601-008,0
Below the Line,Detalle,2nd Unit,3601-009,8000
Below the Line,Detalle,2nd Unit,3601-010,16000
Below the Line,Detalle,2nd Unit,3601-011,8000
Below the Line,Sub cuenta,,3629,235000
Below the Line,Detalle,,3629-002,0
Below the Line,Detalle,SHOOT,3629-003,145000
Below the Line,Detalle,2nd Unit,3629-004,90000
Below the Line,Detalle,2nd Unit,3629-006,
Below the Line,Sub cuenta,,3632,1551403
Below the Line,Detalle,,3632-002,0
Below the Line,Detalle,SHOOT,3632-003,625000
Below the Line,Detalle,SHOOT,3632-004,315000
Below the Line,Detalle,,3632-007,0
Below the Line,Detalle,2nd Unit,3632-008,90000
Below the Line,Detalle,2nd Unit,3632-009,90000
Below the Line,Detalle,,3632-012,0
Below the Line,Detalle,SHOOT,3632-013,245000
Below the Line,Detalle,2nd Unit,3632-014,180000
Below the Line,Detalle,,3632-017,0
Below the Line,Detalle,PREP,3632-018,1403.12
Below the Line,Detalle,PREP,3632-019,5000
Below the Line,Detalle,SHOOT,3632-021,
Below the Line,Sub cuenta,,3633,170000
Below the Line,Detalle,,3633-002,0
Below the Line,Detalle,SHOOT,3633-003,140000
Below the Line,Detalle,,3633-006,0
Below the Line,Detalle,2nd Unit,3633-007,30000
Below the Line,Sub cuenta,,3683,5456700
Below the Line,Detalle,,3683-002,0
Below the Line,Detalle,,3683-004,0
Below the Line,Detalle,PREP,3683-005,60000
Below the Line,Detalle,SHOOT,3683-006,210000
Below the Line,Detalle,WRAP,3683-007,30000
Below the Line,Detalle,,3683-010,0
Below the Line,Detalle,PREP,3683-011,60000
Below the Line,Detalle,SHOOT,3683-012,210000
Below the Line,Detalle,WRAP,3683-013,30000
Below the Line,Detalle,,3683-016,0
Below the Line,Detalle,PREP,3683-017,45000
Below the Line,Detalle,SHOOT,3683-018,315000
Below the Line,Detalle,WRAP,3683-019,45000
Below the Line,Detalle,,3683-022,0
Below the Line,Detalle,PREP,3683-023,11000
Below the Line,Detalle,SHOOT,3683-024,154000
Below the Line,Detalle,WRAP,3683-025,11000
Below the Line,Detalle,,3683-028,0
Below the Line,Detalle,PREP,3683-029,10800
Below the Line,Detalle,SHOOT,3683-030,151200
Below the Line,Detalle,WRAP,3683-031,10800
Below the Line,Detalle,,3683-034,0
Below the Line,Detalle,PREP,3683-035,5400
Below the Line,Detalle,SHOOT,3683-036,75600
Below the Line,Detalle,WRAP,3683-037,5400
Below the Line,Detalle,,3683-040,0
Below the Line,Detalle,PREP,3683-041,10800
Below the Line,Detalle,SHOOT,3683-042,151200
Below the Line,Detalle,WRAP,3683-043,10800
Below the Line,Detalle,,3683-046,0
Below the Line,Detalle,PREP,3683-047,22000
Below the Line,Detalle,SHOOT,3683-048,154000
Below the Line,Detalle,WRAP,3683-049,22000
Below the Line,Detalle,,3683-052,0
Below the Line,Detalle,PREP,3683-053,44000
Below the Line,Detalle,SHOOT,3683-054,154000
Below the Line,Detalle,WRAP,3683-055,44000
Below the Line,Detalle,,3683-058,0
Below the Line,Detalle,PREP,3683-059,75000
Below the Line,Detalle,SHOOT,3683-060,105000
Below the Line,Detalle,WRAP,3683-061,30000
Below the Line,Detalle,,3683-064,0
Below the Line,Detalle,PREP,3683-065,60000
Below the Line,Detalle,SHOOT,3683-066,105000
Below the Line,Detalle,WRAP,3683-067,15000
Below the Line,Detalle,,3683-070,0
Below the Line,Detalle,PREP,3683-071,15000
Below the Line,Detalle,SHOOT,3683-072,105000
Below the Line,Detalle,WRAP,3683-073,15000
Below the Line,Detalle,,3683-076,0
Below the Line,Detalle,PREP,3683-077,60000
Below the Line,Detalle,SHOOT,3683-078,105000
Below the Line,Detalle,WRAP,3683-079,15000
Below the Line,Detalle,,3683-082,0
Below the Line,Detalle,PREP,3683-083,22000
Below the Line,Detalle,SHOOT,3683-084,154000
Below the Line,Detalle,WRAP,3683-085,22000
Below the Line,Detalle,,3683-088,0
Below the Line,Detalle,PREP,3683-089,60000
Below the Line,Detalle,SHOOT,3683-090,105000
Below the Line,Detalle,WRAP,3683-091,15000
Below the Line,Detalle,,3683-094,0
Below the Line,Detalle,PREP,3683-095,22000
Below the Line,Detalle,SHOOT,3683-096,154000
Below the Line,Detalle,WRAP,3683-097,22000
Below the Line,Detalle,,3683-100,0
Below the Line,Detalle,SHOOT,3683-101,157500
Below the Line,Detalle,,3683-104,0
Below the Line,Detalle,SHOOT,3683-105,196000
Below the Line,Detalle,,3683-108,0
Below the Line,Detalle,SHOOT,3683-109,392000
Below the Line,Detalle,,3683-112,0
Below the Line,Detalle,SHOOT,3683-113,196000
Below the Line,Detalle,,3683-116,0
Below the Line,Detalle,PREP,3683-117,8000
Below the Line,Detalle,SHOOT,3683-118,196000
Below the Line,Detalle,WRAP,3683-119,4000
Below the Line,Detalle,,3683-122,0
Below the Line,Detalle,SHOOT,3683-123,63750
Below the Line,Detalle,,3683-126,0
Below the Line,Detalle,PREP,3683-127,35000
Below the Line,Detalle,SHOOT,3683-128,35000
Below the Line,Detalle,WRAP,3683-129,20000
Below the Line,Detalle,,3683-132,0
Below the Line,Detalle,,3683-134,0
Below the Line,Detalle,,3683-136,0
Below the Line,Detalle,2nd Unit,3683-137,45000
